
Epoch:   0%|                                                                                                                  | 0/20 [00:00<?, ?it/s]
3 18 	| 3.2583 	| 0.0938

Epoch:  20%|█████████████████████▏                                                                                    | 4/20 [02:44<10:56, 41.02s/it]
3 20 	| 3.5283 	| 0.0
Val mae km: 9455.832849289533  | Mean val loss: 3.0482789039611817
4 0 	| 3.4054 	| 0.0312
4 1 	| 3.4026 	| 0.0625
4 2 	| 3.3286 	| 0.0
4 3 	| 3.1628 	| 0.0312
4 4 	| 3.1306 	| 0.0938
4 5 	| 3.1768 	| 0.0
4 6 	| 3.4329 	| 0.0938
4 7 	| 2.8124 	| 0.0625
4 8 	| 3.3545 	| 0.0312
4 9 	| 3.1867 	| 0.0312
4 10 	| 3.2228 	| 0.0625
4 11 	| 3.5602 	| 0.0
4 12 	| 3.0636 	| 0.1875
4 13 	| 3.2216 	| 0.0312
4 14 	| 3.2134 	| 0.0
4 15 	| 3.2762 	| 0.0625
4 16 	| 3.4483 	| 0.0
4 17 	| 3.0381 	| 0.0625
4 18 	| 3.2548 	| 0.0312
4 19 	| 3.2765 	| 0.0

Epoch:  25%|██████████████████████████▌                                                                               | 5/20 [03:25<10:15, 41.02s/it]
Val mae km: 9506.216222031451  | Mean val loss: 3.8611674308776855
5 0 	| 3.0756 	| 0.0625
5 1 	| 3.1371 	| 0.0312
5 2 	| 3.1255 	| 0.0625
5 3 	| 3.1896 	| 0.0
5 4 	| 3.4224 	| 0.0625
5 5 	| 3.1251 	| 0.0
5 6 	| 3.087 	| 0.0
5 7 	| 2.984 	| 0.0312
5 8 	| 3.1279 	| 0.0625
5 9 	| 3.0586 	| 0.0938
5 10 	| 3.2037 	| 0.0312
5 11 	| 3.0646 	| 0.0938
5 12 	| 2.9895 	| 0.1562
5 13 	| 3.2379 	| 0.0312
5 14 	| 3.1786 	| 0.0
5 15 	| 3.1793 	| 0.0
5 16 	| 3.1447 	| 0.0625
5 17 	| 2.9838 	| 0.0
5 18 	| 3.3135 	| 0.0312

Epoch:  30%|███████████████████████████████▊                                                                          | 6/20 [04:06<09:34, 41.01s/it]
5 20 	| 3.2087 	| 0.0
Val mae km: 9479.42257505215  | Mean val loss: 3.0483853340148928
6 0 	| 3.2756 	| 0.0
6 1 	| 3.0968 	| 0.0625
6 2 	| 3.0652 	| 0.0938
6 3 	| 3.205 	| 0.0625
6 4 	| 3.1431 	| 0.0625
6 5 	| 3.1963 	| 0.0312
6 6 	| 3.3173 	| 0.0
6 7 	| 3.2105 	| 0.125
6 8 	| 3.1249 	| 0.0938
6 9 	| 3.3052 	| 0.0
6 10 	| 3.0655 	| 0.0938
6 11 	| 3.2344 	| 0.0
6 12 	| 3.2004 	| 0.0312
6 13 	| 3.2593 	| 0.0312
6 14 	| 3.0952 	| 0.0
6 15 	| 3.1789 	| 0.0
6 16 	| 3.2897 	| 0.0625
6 17 	| 3.1274 	| 0.0625
6 18 	| 3.2943 	| 0.0312
6 19 	| 3.1201 	| 0.0625

Epoch:  35%|█████████████████████████████████████                                                                     | 7/20 [04:47<08:55, 41.19s/it]
Val mae km: 8730.770620973022  | Mean val loss: 3.031381845474243
7 0 	| 3.0204 	| 0.0312
7 1 	| 3.0847 	| 0.0625
7 2 	| 3.3045 	| 0.0
7 3 	| 3.1906 	| 0.0625
7 4 	| 3.1969 	| 0.0312
7 5 	| 3.0132 	| 0.0312
7 6 	| 3.1157 	| 0.125
7 7 	| 3.1303 	| 0.0312
7 8 	| 3.0823 	| 0.0312
7 9 	| 2.9849 	| 0.0625
7 10 	| 3.1457 	| 0.0312
7 11 	| 3.1977 	| 0.125
7 12 	| 2.9793 	| 0.0625
7 13 	| 3.0469 	| 0.0312
7 14 	| 3.1458 	| 0.0312
7 15 	| 3.0807 	| 0.0
7 16 	| 3.1126 	| 0.0625
7 17 	| 3.2511 	| 0.0
7 18 	| 3.1107 	| 0.0312

Epoch:  40%|██████████████████████████████████████████▍                                                               | 8/20 [05:28<08:13, 41.14s/it]
7 20 	| 3.1639 	| 0.0625
Val mae km: 10245.59201740368  | Mean val loss: 3.0228630542755126
8 0 	| 3.0953 	| 0.0938
8 1 	| 3.1223 	| 0.0312
8 2 	| 3.0924 	| 0.0938
8 3 	| 3.1552 	| 0.0312
8 4 	| 3.1553 	| 0.0312
8 5 	| 3.3028 	| 0.0
8 6 	| 3.1968 	| 0.0
8 7 	| 3.0513 	| 0.0
8 8 	| 2.9988 	| 0.125
8 9 	| 3.1041 	| 0.0625
8 10 	| 3.2038 	| 0.0312
8 11 	| 3.0104 	| 0.0938
8 12 	| 3.1205 	| 0.0
8 13 	| 3.3365 	| 0.0
8 14 	| 3.0903 	| 0.0625
8 15 	| 2.9986 	| 0.0
8 16 	| 3.2402 	| 0.0625
8 17 	| 3.1182 	| 0.125
8 18 	| 3.0789 	| 0.0312
8 19 	| 3.0787 	| 0.0625

Epoch:  45%|███████████████████████████████████████████████▋                                                          | 9/20 [06:09<07:31, 41.01s/it]
Val mae km: 9581.337388000164  | Mean val loss: 3.0578854084014893
9 0 	| 2.9917 	| 0.1562
9 1 	| 3.1318 	| 0.0
9 2 	| 3.0853 	| 0.0
9 3 	| 2.992 	| 0.0312
9 4 	| 3.0534 	| 0.0938
9 5 	| 3.1286 	| 0.0312
9 6 	| 3.1946 	| 0.0
9 7 	| 3.0513 	| 0.0625
9 8 	| 3.2858 	| 0.0
9 9 	| 3.1089 	| 0.0312
9 10 	| 3.2294 	| 0.0312
9 11 	| 3.0283 	| 0.0625
9 12 	| 3.1729 	| 0.0938
9 13 	| 3.1375 	| 0.0312
9 14 	| 3.099 	| 0.0938
9 15 	| 3.033 	| 0.0625
9 16 	| 3.0569 	| 0.0
9 17 	| 3.1283 	| 0.0
9 18 	| 3.1118 	| 0.0

Epoch:  50%|████████████████████████████████████████████████████▌                                                    | 10/20 [06:50<06:49, 40.94s/it]
9 20 	| 3.2684 	| 0.0312
Val mae km: 9264.632976583294  | Mean val loss: 3.097163677215576
10 0 	| 3.2261 	| 0.0312
10 1 	| 3.1415 	| 0.0625
10 2 	| 3.1494 	| 0.0625
10 3 	| 3.1429 	| 0.0
10 4 	| 3.2205 	| 0.0312
10 5 	| 3.0322 	| 0.0625
10 6 	| 2.9851 	| 0.0625
10 7 	| 3.1485 	| 0.0312
10 8 	| 3.2563 	| 0.0312
10 9 	| 2.9967 	| 0.0625
10 10 	| 3.0838 	| 0.0938
10 11 	| 3.059 	| 0.0625
10 12 	| 3.1042 	| 0.0
10 13 	| 3.0447 	| 0.0
10 14 	| 3.1539 	| 0.0938
10 15 	| 3.0796 	| 0.0625
10 16 	| 3.2671 	| 0.0
10 17 	| 3.0966 	| 0.0312
10 18 	| 3.0221 	| 0.1875

Epoch:  55%|█████████████████████████████████████████████████████████▊                                               | 11/20 [07:31<06:08, 41.00s/it]
10 20 	| 3.1398 	| 0.0
Val mae km: 10021.482845717106  | Mean val loss: 3.118426465988159
11 0 	| 3.0411 	| 0.125
11 1 	| 3.2213 	| 0.125
11 2 	| 2.8949 	| 0.0938
11 3 	| 3.1337 	| 0.0938
11 4 	| 2.9971 	| 0.125
11 5 	| 3.0841 	| 0.0312
11 6 	| 3.1536 	| 0.0312
11 7 	| 3.089 	| 0.0625
11 8 	| 3.0638 	| 0.0312
11 9 	| 3.1395 	| 0.0312
11 10 	| 3.1187 	| 0.0312
11 11 	| 3.1312 	| 0.1562
11 12 	| 3.012 	| 0.125
11 13 	| 3.265 	| 0.0312
11 14 	| 3.1025 	| 0.0
11 15 	| 2.9586 	| 0.0312
11 16 	| 3.1417 	| 0.0
11 17 	| 3.1127 	| 0.0625
11 18 	| 2.9408 	| 0.0625

Epoch:  60%|███████████████████████████████████████████████████████████████                                          | 12/20 [08:12<05:27, 40.98s/it]
11 20 	| 3.1485 	| 0.0312
Val mae km: 9823.50562794927  | Mean val loss: 3.27704496383667
12 0 	| 3.1069 	| 0.0938
12 1 	| 3.0325 	| 0.0625
12 2 	| 2.9402 	| 0.0625
12 3 	| 3.0088 	| 0.0625
12 4 	| 3.2663 	| 0.0625
12 5 	| 2.9832 	| 0.0938
12 6 	| 2.9615 	| 0.0938
12 7 	| 3.0463 	| 0.0938
12 8 	| 3.1489 	| 0.0625
12 9 	| 3.1537 	| 0.0312
12 10 	| 3.0106 	| 0.0938
12 11 	| 3.143 	| 0.0938
12 12 	| 3.1619 	| 0.0625
12 13 	| 3.1262 	| 0.0312
12 14 	| 3.3535 	| 0.0312
12 15 	| 3.2136 	| 0.0312
12 16 	| 3.224 	| 0.0
12 17 	| 3.032 	| 0.0312
12 18 	| 3.1919 	| 0.0312
12 19 	| 3.1578 	| 0.0

Epoch:  65%|████████████████████████████████████████████████████████████████████▎                                    | 13/20 [09:01<04:51, 41.65s/it]
Traceback (most recent call last):
  File "/home/sebastiaan/fun/text_geolocation/main.py", line 34, in <module>
    main()
  File "/home/sebastiaan/fun/text_geolocation/main.py", line 30, in main
    train(model, train_loader, eval_loader, config["epochs"], config["lr"])
  File "/home/sebastiaan/fun/text_geolocation/train.py", line 62, in train
    train_output = model(input_ids, attention_mask)
  File "/home/sebastiaan/.local/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1215, in _call_impl
    hook_result = hook(self, input, result)
  File "/home/sebastiaan/.local/lib/python3.10/site-packages/wandb/wandb_torch.py", line 110, in <lambda>
    lambda mod, inp, outp: parameter_log_hook(
  File "/home/sebastiaan/.local/lib/python3.10/site-packages/wandb/wandb_torch.py", line 105, in parameter_log_hook
    self.log_tensor_stats(data.cpu(), "parameters/" + prefix + name)
KeyboardInterrupt
Traceback (most recent call last):
  File "/home/sebastiaan/fun/text_geolocation/main.py", line 34, in <module>
    main()
  File "/home/sebastiaan/fun/text_geolocation/main.py", line 30, in main
    train(model, train_loader, eval_loader, config["epochs"], config["lr"])
  File "/home/sebastiaan/fun/text_geolocation/train.py", line 62, in train
    train_output = model(input_ids, attention_mask)
  File "/home/sebastiaan/.local/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1215, in _call_impl
    hook_result = hook(self, input, result)
  File "/home/sebastiaan/.local/lib/python3.10/site-packages/wandb/wandb_torch.py", line 110, in <lambda>
    lambda mod, inp, outp: parameter_log_hook(
  File "/home/sebastiaan/.local/lib/python3.10/site-packages/wandb/wandb_torch.py", line 105, in parameter_log_hook
    self.log_tensor_stats(data.cpu(), "parameters/" + prefix + name)
KeyboardInterrupt
Val mae km: 9703.994351130214  | Mean val loss: 3.1593077182769775
13 0 	| 2.9554 	| 0.125
